text,stars
"Absolutnie okropne. Zepsuło się po dwóch dniach, a obsługa klienta nigdy nie odpowiedziała.",1
"Najgorszy zakup jaki kiedykolwiek zrobiłem, kompletna strata pieniędzy.",1
"Przestało działać po tygodniu, zupełnie nieprzydatne, nie kupować.",1
"Słaba jakość, rozpadło się niemal natychmiast, bardzo rozczarowany.",1
"Okropne doświadczenie, produkt przyszedł uszkodzony a obsługa mnie zignorowała.",1
"Niezbyt dobre, kilka problemów i wykonanie wydaje się tanie.",2
"Rozczarowany tym zakupem, ledwo robi to co obiecywano.",2
"Poniżej przeciętnej, musiałem zwrócić bo źle leżało.",2
"Przeciętne w najlepszym wypadku, nie poleciłbym znajomemu.",2
"Działa, ale wydaje się kruche a instrukcja była niejasna.",2
"Jest w porządku, spełnia swoją rolę, nic specjalnego.",3
"Przeciętny produkt, spełnił podstawowe oczekiwania ale nic więcej.",3
"Rozsądna jakość jak na tę cenę, choć spodziewałem się większej trwałości.",3
"Na razie działa dobrze, dam znać jeśli coś się zmieni.",3
"Akceptowalna jakość, kilka drobnych wad ale ogólnie w porządku.",3
"Całkiem dobre, działa zgodnie z opisem i przyszło na czas.",4
"Zadowolony z tego zakupu, solidne wykonanie i dobra wartość.",4
"Dobry produkt ogólnie, drobny problem ale obsługa szybko go rozwiązała.",4
"Niezła jakość jak na tę cenę, rozważyłbym ponowny zakup.",4
"Działa dobrze, wygodne w użyciu i ładnie wygląda.",4
"Doskonały produkt, przerósł moje oczekiwania pod każdym względem.",5
"Absolutnie uwielbiam, idealna jakość i szybka wysyłka.",5
"Najlepszy zakup w tym roku, działa bez zarzutu i świetnie wygląda.",5
"Wybitna jakość wykonania, a obsługa klienta była fantastyczna.",5
"Fantastyczny stosunek jakości do ceny, gorąco polecam wszystkim.",5
