text,label
"Bateria starcza na około 8 godzin ciągłego użytkowania i ładuje się w pełni w 90 minut przez USB-C.",Informative
"Wymiary to 12x8x3cm, waga 340 gramów, mieści się w standardowej kieszeni plecaka.",Informative
"Zmierzyłem poziom hałasu na około 42 decybele na najniższym ustawieniu, bardzo cicho jak na wentylator.",Informative
"Materiał to 80% bawełna i 20% poliester, można prać w pralce w zimnym cyklu.",Informative
"Łączy się przez Bluetooth 5.2 i ma deklarowany zasięg 10 metrów, co zgadzało się z moimi testami.",Informative
"Jeśli masz małe dłonie, zamów rozmiar mniejszy, średni jest za duży.",Helpful
"Wskazówka: dokręć dolne śruby po pierwszym tygodniu użytkowania, u mnie się trochę poluzowały.",Helpful
"Świetnie sprawdza się z przedłużaczem jeśli gniazdko jest daleko od miejsca ustawienia.",Helpful
"Naładuj w pełni przed pierwszym użyciem, dołączony kabel jest krótszy niż się spodziewałem.",Helpful
"Dobrze pasuje do osobnej podstawki, zaoszczędziłem sporo miejsca na biurku.",Helpful
"Jestem TAK szczęśliwy, to uczyniło mój cały tydzień wspaniałym!!!",Emotional
"To złamało mi serce, byłem taki podekscytowany a teraz jest mi smutno.",Emotional
"Dosłownie płakałem jak przyszło, najlepszy dzień w życiu, kocham to.",Emotional
"Jestem wściekły, to zrujnowało mi cały weekend.",Emotional
"Tak zachwycony, nie mogę przestać się uśmiechać za każdym razem gdy tego używam.",Emotional
"Wszyscy powinni bojkotować tę markę, wyraźnie nas oszukują.",Tendentious
"Cała ta kategoria produktów to oszustwo, nie ufajcie żadnym opiniom na tej stronie.",Tendentious
"Założę się że ta firma płaci za fałszywe opinie, nic tutaj nie można zaufać.",Tendentious
"Typowa chciwa korporacja oszczędzająca na wszystkim, wstyd.",Tendentious
"Wszystkie te marki to to samo śmiecie w innym opakowaniu, nie wierzcie szumowi.",Tendentious
"Jesteście idiotami jeśli to kupujecie, co z wami nie tak.",Hateful
"Kto to zaprojektował powinien się wstydzić, żałośni ludzie.",Hateful
"Tę firmę prowadzą oszuści i kłamcy, obrzydliwi ludzie.",Hateful
"Tylko idiota zapłaciłby za te śmieci, obudźcie się ludzie.",Hateful
"dobre",LowQuality
"spoko",LowQuality
"ok",LowQuality
"meh",LowQuality
"w porządku, nic specjalnego",LowQuality
"Super produkt, jestem bardzo zadowolony z tego zakupu. Polecam.",Helpful
