text,label
"The battery lasts about 8 hours of continuous use and charges fully in 90 minutes via USB-C.",Informative
"Dimensions are 12x8x3cm and it weighs 340 grams, fits easily in a standard backpack pocket.",Informative
"I measured the noise level at around 42 decibels on the lowest setting, very quiet for a fan.",Informative
"The fabric is 80% cotton and 20% polyester, machine washable on a cold cycle.",Informative
"It connects via Bluetooth 5.2 and has a stated range of 10 meters, which matched my testing.",Informative
"If you have small hands, size down one from your usual fit, the medium runs large.",Helpful
"Tip: tighten the bottom screws after the first week of use, mine loosened slightly.",Helpful
"Works great with an extension cord if your outlet is far from where you'll place it.",Helpful
"Make sure to charge it fully before first use, the included cable is shorter than expected.",Helpful
"Pairs well with the matching stand sold separately, saved me a lot of desk space.",Helpful
"I am SO happy with this, it made my whole week amazing!!!",Emotional
"This broke my heart, I was so excited and now I'm just sad.",Emotional
"Literally cried when it arrived, best day ever, love love love.",Emotional
"I'm furious, this ruined my entire weekend plans.",Emotional
"So thrilled, can't stop smiling every time I use it.",Emotional
"Everyone should boycott this brand, they are clearly scamming all of us.",Tendentious
"This whole category of product is a scam, don't trust any reviews on this site.",Tendentious
"I bet this company pays for fake reviews, nothing here can be trusted.",Tendentious
"Typical greedy corporation cutting corners to save money, shameful.",Tendentious
"All of these brands are the same garbage repackaged, don't believe the hype.",Tendentious
"You people are idiots if you buy this junk, what is wrong with you.",Hateful
"Whoever designed this should be ashamed, absolutely worthless human beings.",Hateful
"This company is run by crooks and liars, disgusting people.",Hateful
"Only an idiot would pay for this trash, wake up people.",Hateful
"asdfasdfasdfasdf ghjkl",LowQuality
"Click here to win a free iphone http://scam.link",LowQuality
"nice nice nice nice nice nice nice",LowQuality
"lol random comment text 123",LowQuality
"Shameful corporate greed!!! Just buying for the hype.",LowQuality
"The battery lasts about 8 hours of continuous use and charges fully in 90 minutes via USB-C.",Informative
"Dimensions are 12x8x3cm and it weighs 340 grams, fits easily in a standard backpack pocket.",Informative
"I measured the noise level at around 42 decibels on the lowest setting, very quiet for a fan.",Informative
"The fabric is 80% cotton and 20% polyester, machine washable on a cold cycle.",Informative
"It connects via Bluetooth 5.2 and has a stated range of 10 meters, which matched my testing.",Informative
"If you have small hands, size down one from your usual fit, the medium runs large.",Helpful
"Tip: tighten the bottom screws after the first week of use, mine loosened slightly.",Helpful
"Works great with an extension cord if your outlet is far from where you'll place it.",Helpful
"Make sure to charge it fully before first use, the included cable is shorter than expected.",Helpful
"Pairs well with the matching stand sold separately, saved me a lot of desk space.",Helpful
"I am SO happy with this, it made my whole week amazing!!!",Emotional
"This broke my heart, I was so excited and now I'm just sad.",Emotional
"Literally cried when it arrived, best day ever, love love love.",Emotional
"I'm furious, this ruined my entire weekend plans.",Emotional
"So thrilled, can't stop smiling every time I use it.",Emotional
"Everyone should boycott this brand, they are clearly scamming all of us.",Tendentious
"This whole category of product is a scam, don't trust any reviews on this site.",Tendentious
"I bet this company pays for fake reviews, nothing here can be trusted.",Tendentious
"Typical greedy corporation cutting corners to save money, shameful.",Tendentious
"All of these brands are the same garbage repackaged, don't believe the hype.",Tendentious
"You people are idiots if you buy this junk, what is wrong with you.",Hateful
"Whoever designed this should be ashamed, absolutely worthless human beings.",Hateful
"This company is run by crooks and liars, disgusting people.",Hateful
"Only an idiot would pay for this trash, wake up people.",Hateful
"asdfasdfasdfasdf ghjkl qwertyuiop xd",LowQuality
"Click here to win a free prize http://scam-link-click-now.com",LowQuality
"test test test test test test test test",LowQuality
"gibberish text blunt random words text text",LowQuality
"buy cheap followers premium discounts here!!!",LowQuality
"That washing machine is silent and fast, the clothes are clean.",Informative
"Works perfectly even in low temperatures, highly recommended.",Helpful
"The appliance operates quietly and cleans clothes efficiently.",Informative
"Great choice for energy saving, running fine on low settings.",Helpful
